"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00171145
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00171145
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00171145
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00163565
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00163565
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00163565
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00159221
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00163978
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00159221
"SCarar",0.0359928114764424,2034,26,2034,0.05,"1oT","laplace",2,2.21730035079246,10.9094758169383,"ref873_SC_1328.txt",0.00159958
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0138638
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0138638
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0138709
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0141406
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0141406
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0140832
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0138026
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.013944
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0138026
"MGvico8",0.313668812302999,2303,195,2303,0.05,"1oT","laplace",2,2.08378559282707,10.397439874349,"ref2419_MG_3585.txt",0.0137876
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00203373
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00182056
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00203373
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00179525
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00186448
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00179525
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00184154
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00174198
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.00173911
"RSsetape",0.493985431841831,1733,45,1733,0.05,"2oT","laplace",2,2.40215329446032,11.9250334000167,"ref740_RS_1123.txt",0.0017543
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00849767
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00884977
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.008823
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00884977
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00904733
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.0092458
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00904733
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00867738
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00897974
"BAuruc",0.769444718591026,1784,230,1784,0.05,"2oT","laplace",2,2.36756861905189,11.7307748140472,"ref1425_BA_2296.txt",0.00904733
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.0019721
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00196297
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00202524
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00175165
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00191251
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.0019721
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00188634
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00189183
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.0018872
"SCvolta1",0.975721531216037,1658,52,1658,0.05,"3oT","laplace",2,2.45588336206301,12.491477200955,"ref848_SC_1272.txt",0.00191251
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0107489
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0101959
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0107489
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.00977558
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0102497
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0107489
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.00977558
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.0102497
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.00977558
"ESsoor",1,1468,226,1468,0.05,"3oT","laplace",2,2.6099787548594,12.9109987103333,"ref8_ES_10.txt",0.00998815
